Confirmed,Country/Region,Deaths,Date,Province/State,Recovered,Epidemy,Lat,Long
4.0,Italy,0.0,2003-07-09,,4.0,SARS,41.87194,12.56738
1.0,Kuwait,0.0,2003-07-09,,1.0,SARS,29.311659999999996,47.481766
5.0,Malaysia,2.0,2003-07-09,,3.0,SARS,4.210483999999999,101.97576600000001
9.0,Mongolia,0.0,2003-07-09,,9.0,SARS,46.862496,103.84665600000001
1.0,New Zealand,0.0,2003-07-09,,1.0,SARS,-40.900557,174.88597099999998
14.0,Philippines,2.0,2003-07-09,,12.0,SARS,12.879721,121.77401699999999
1.0,Ireland,0.0,2003-07-09,,1.0,SARS,53.41291,-8.243889999999999
3.0,South Korea,0.0,2003-07-09,,3.0,SARS,35.907757000000004,127.766922
1.0,Romania,0.0,2003-07-09,,1.0,SARS,45.943160999999996,24.96676
1.0,Russia,0.0,2003-07-09,,0.0,SARS,61.52401,105.31875600000001
206.0,Singapore,32.0,2003-07-09,,171.0,SARS,1.352083,103.819836
1.0,South Africa,1.0,2003-07-09,,0.0,SARS,-30.559482,22.937506
1.0,Spain,0.0,2003-07-09,,1.0,SARS,40.463667,-3.7492199999999998
3.0,Sweden,0.0,2003-07-09,,3.0,SARS,60.128161,18.643501
1.0,Switzerland,0.0,2003-07-09,,1.0,SARS,46.818188,8.227511999999999
9.0,Thailand,2.0,2003-07-09,,7.0,SARS,15.870032,100.992541
4.0,United Kingdom,0.0,2003-07-09,,4.0,SARS,55.378051,-3.435973
75.0,US,0.0,2003-07-09,,67.0,SARS,37.09024,-95.712891
63.0,Vietnam,5.0,2003-07-09,,58.0,SARS,14.058323999999999,108.277199
5.0,Australia,0.0,2003-07-08,,5.0,SARS,-25.274398,133.775136
1.0,Brazil,0.0,2003-07-08,,1.0,SARS,-14.235004,-51.92528
250.0,Canada,38.0,2003-07-08,,194.0,SARS,56.130366,-106.34677099999999
5327.0,Mainland China,348.0,2003-07-08,,4934.0,SARS,35.86166,104.195397
1755.0,Hong Kong,298.0,2003-07-08,,1430.0,SARS,22.396428,114.10949699999999
1.0,Macao,0.0,2003-07-08,,1.0,SARS,22.1987,113.5439
671.0,Taiwan,84.0,2003-07-08,,502.0,SARS,23.69781,120.96051499999999
1.0,Colombia,0.0,2003-07-08,,1.0,SARS,4.570868,-74.297333
1.0,Finland,0.0,2003-07-08,,1.0,SARS,61.92411,25.748151
7.0,France,0.0,2003-07-08,,6.0,SARS,46.227638,2.213749
10.0,Germany,0.0,2003-07-08,,9.0,SARS,51.165690999999995,10.451526
3.0,India,0.0,2003-07-08,,3.0,SARS,20.593684,78.96288
2.0,Indonesia,0.0,2003-07-08,,2.0,SARS,-0.789275,113.921327
4.0,Italy,0.0,2003-07-08,,4.0,SARS,41.87194,12.56738
1.0,Kuwait,0.0,2003-07-08,,1.0,SARS,29.311659999999996,47.481766
5.0,Malaysia,2.0,2003-07-08,,3.0,SARS,4.210483999999999,101.97576600000001
9.0,Mongolia,0.0,2003-07-08,,9.0,SARS,46.862496,103.84665600000001
1.0,New Zealand,0.0,2003-07-08,,1.0,SARS,-40.900557,174.88597099999998
14.0,Philippines,2.0,2003-07-08,,12.0,SARS,12.879721,121.77401699999999
1.0,Ireland,0.0,2003-07-08,,1.0,SARS,53.41291,-8.243889999999999
3.0,South Korea,0.0,2003-07-08,,3.0,SARS,35.907757000000004,127.766922
1.0,Romania,0.0,2003-07-08,,1.0,SARS,45.943160999999996,24.96676
1.0,Russia,0.0,2003-07-08,,0.0,SARS,61.52401,105.31875600000001
206.0,Singapore,32.0,2003-07-08,,171.0,SARS,1.352083,103.819836
1.0,South Africa,1.0,2003-07-08,,0.0,SARS,-30.559482,22.937506
1.0,Spain,0.0,2003-07-08,,1.0,SARS,40.463667,-3.7492199999999998
3.0,Sweden,0.0,2003-07-08,,3.0,SARS,60.128161,18.643501
1.0,Switzerland,0.0,2003-07-08,,1.0,SARS,46.818188,8.227511999999999
9.0,Thailand,2.0,2003-07-08,,7.0,SARS,15.870032,100.992541
4.0,United Kingdom,0.0,2003-07-08,,4.0,SARS,55.378051,-3.435973
74.0,US,0.0,2003-07-08,,64.0,SARS,37.09024,-95.712891
63.0,Vietnam,5.0,2003-07-08,,58.0,SARS,14.058323999999999,108.277199
5.0,Australia,0.0,2003-07-07,,5.0,SARS,-25.274398,133.775136
1.0,Brazil,0.0,2003-07-07,,1.0,SARS,-14.235004,-51.92528
251.0,Canada,38.0,2003-07-07,,193.0,SARS,56.130366,-106.34677099999999
5327.0,Mainland China,348.0,2003-07-07,,4934.0,SARS,35.86166,104.195397
1755.0,Hong Kong,298.0,2003-07-07,,1430.0,SARS,22.396428,114.10949699999999
1.0,Macao,0.0,2003-07-07,,1.0,SARS,22.1987,113.5439
674.0,Taiwan,84.0,2003-07-07,,500.0,SARS,23.69781,120.96051499999999
1.0,Colombia,0.0,2003-07-07,,1.0,SARS,4.570868,-74.297333
1.0,Finland,0.0,2003-07-07,,1.0,SARS,61.92411,25.748151
7.0,France,0.0,2003-07-07,,6.0,SARS,46.227638,2.213749
10.0,Germany,0.0,2003-07-07,,9.0,SARS,51.165690999999995,10.451526
3.0,India,0.0,2003-07-07,,3.0,SARS,20.593684,78.96288
2.0,Indonesia,0.0,2003-07-07,,2.0,SARS,-0.789275,113.921327
4.0,Italy,0.0,2003-07-07,,4.0,SARS,41.87194,12.56738
1.0,Kuwait,0.0,2003-07-07,,1.0,SARS,29.311659999999996,47.481766
5.0,Malaysia,2.0,2003-07-07,,3.0,SARS,4.210483999999999,101.97576600000001
9.0,Mongolia,0.0,2003-07-07,,9.0,SARS,46.862496,103.84665600000001
1.0,New Zealand,0.0,2003-07-07,,1.0,SARS,-40.900557,174.88597099999998
14.0,Philippines,2.0,2003-07-07,,12.0,SARS,12.879721,121.77401699999999
1.0,Ireland,0.0,2003-07-07,,1.0,SARS,53.41291,-8.243889999999999
3.0,South Korea,0.0,2003-07-07,,3.0,SARS,35.907757000000004,127.766922
1.0,Romania,0.0,2003-07-07,,1.0,SARS,45.943160999999996,24.96676
1.0,Russia,0.0,2003-07-07,,0.0,SARS,61.52401,105.31875600000001
206.0,Singapore,32.0,2003-07-07,,171.0,SARS,1.352083,103.819836
1.0,South Africa,1.0,2003-07-07,,0.0,SARS,-30.559482,22.937506
1.0,Spain,0.0,2003-07-07,,1.0,SARS,40.463667,-3.7492199999999998
3.0,Sweden,0.0,2003-07-07,,3.0,SARS,60.128161,18.643501
1.0,Switzerland,0.0,2003-07-07,,1.0,SARS,46.818188,8.227511999999999
9.0,Thailand,2.0,2003-07-07,,7.0,SARS,15.870032,100.992541
4.0,United Kingdom,0.0,2003-07-07,,4.0,SARS,55.378051,-3.435973
73.0,US,0.0,2003-07-07,,65.0,SARS,37.09024,-95.712891
63.0,Vietnam,5.0,2003-07-07,,58.0,SARS,14.058323999999999,108.277199
5.0,Australia,0.0,2003-07-04,,5.0,SARS,-25.274398,133.775136
1.0,Brazil,0.0,2003-07-04,,1.0,SARS,-14.235004,-51.92528
251.0,Canada,38.0,2003-07-04,,193.0,SARS,56.130366,-106.34677099999999
5327.0,Mainland China,348.0,2003-07-04,,4934.0,SARS,35.86166,104.195397
1755.0,Hong Kong,298.0,2003-07-04,,1430.0,SARS,22.396428,114.10949699999999
1.0,Macao,0.0,2003-07-04,,1.0,SARS,22.1987,113.5439
674.0,Taiwan,84.0,2003-07-04,,500.0,SARS,23.69781,120.96051499999999
1.0,Colombia,0.0,2003-07-04,,1.0,SARS,4.570868,-74.297333
1.0,Finland,0.0,2003-07-04,,1.0,SARS,61.92411,25.748151
7.0,France,0.0,2003-07-04,,6.0,SARS,46.227638,2.213749
10.0,Germany,0.0,2003-07-04,,9.0,SARS,51.165690999999995,10.451526
3.0,India,0.0,2003-07-04,,3.0,SARS,20.593684,78.96288
2.0,Indonesia,0.0,2003-07-04,,2.0,SARS,-0.789275,113.921327
4.0,Italy,0.0,2003-07-04,,4.0,SARS,41.87194,12.56738
1.0,Kuwait,0.0,2003-07-04,,1.0,SARS,29.311659999999996,47.481766
5.0,Malaysia,2.0,2003-07-04,,3.0,SARS,4.210483999999999,101.97576600000001
9.0,Mongolia,0.0,2003-07-04,,9.0,SARS,46.862496,103.84665600000001
1.0,New Zealand,0.0,2003-07-04,,1.0,SARS,-40.900557,174.88597099999998
14.0,Philippines,2.0,2003-07-04,,12.0,SARS,12.879721,121.77401699999999
1.0,Ireland,0.0,2003-07-04,,1.0,SARS,53.41291,-8.243889999999999
3.0,South Korea,0.0,2003-07-04,,3.0,SARS,35.907757000000004,127.766922
1.0,Romania,0.0,2003-07-04,,1.0,SARS,45.943160999999996,24.96676
1.0,Russia,0.0,2003-07-04,,0.0,SARS,61.52401,105.31875600000001
206.0,Singapore,32.0,2003-07-04,,171.0,SARS,1.352083,103.819836
1.0,South Africa,1.0,2003-07-04,,0.0,SARS,-30.559482,22.937506
1.0,Spain,0.0,2003-07-04,,1.0,SARS,40.463667,-3.7492199999999998
3.0,Sweden,0.0,2003-07-04,,3.0,SARS,60.128161,18.643501
1.0,Switzerland,0.0,2003-07-04,,1.0,SARS,46.818188,8.227511999999999
9.0,Thailand,2.0,2003-07-04,,7.0,SARS,15.870032,100.992541
4.0,United Kingdom,0.0,2003-07-04,,4.0,SARS,55.378051,-3.435973
73.0,US,0.0,2003-07-04,,65.0,SARS,37.09024,-95.712891
63.0,Vietnam,5.0,2003-07-04,,58.0,SARS,14.058323999999999,108.277199
5.0,Australia,0.0,2003-07-03,,5.0,SARS,-25.274398,133.775136
1.0,Brazil,0.0,2003-07-03,,1.0,SARS,-14.235004,-51.92528
251.0,Canada,38.0,2003-07-03,,193.0,SARS,56.130366,-106.34677099999999
5327.0,Mainland China,348.0,2003-07-03,,4933.0,SARS,35.86166,104.195397
1755.0,Hong Kong,298.0,2003-07-03,,1429.0,SARS,22.396428,114.10949699999999
1.0,Macao,0.0,2003-07-03,,1.0,SARS,22.1987,113.5439
674.0,Taiwan,84.0,2003-07-03,,498.0,SARS,23.69781,120.96051499999999
1.0,Colombia,0.0,2003-07-03,,1.0,SARS,4.570868,-74.297333
1.0,Finland,0.0,2003-07-03,,1.0,SARS,61.92411,25.748151
7.0,France,0.0,2003-07-03,,6.0,SARS,46.227638,2.213749
10.0,Germany,0.0,2003-07-03,,9.0,SARS,51.165690999999995,10.451526
3.0,India,0.0,2003-07-03,,3.0,SARS,20.593684,78.96288
2.0,Indonesia,0.0,2003-07-03,,2.0,SARS,-0.789275,113.921327
4.0,Italy,0.0,2003-07-03,,4.0,SARS,41.87194,12.56738
1.0,Kuwait,0.0,2003-07-03,,1.0,SARS,29.311659999999996,47.481766
5.0,Malaysia,2.0,2003-07-03,,3.0,SARS,4.210483999999999,101.97576600000001
9.0,Mongolia,0.0,2003-07-03,,9.0,SARS,46.862496,103.84665600000001
1.0,New Zealand,0.0,2003-07-03,,1.0,SARS,-40.900557,174.88597099999998
14.0,Philippines,2.0,2003-07-03,,12.0,SARS,12.879721,121.77401699999999
1.0,Ireland,0.0,2003-07-03,,1.0,SARS,53.41291,-8.243889999999999
3.0,South Korea,0.0,2003-07-03,,3.0,SARS,35.907757000000004,127.766922
1.0,Romania,0.0,2003-07-03,,1.0,SARS,45.943160999999996,24.96676
1.0,Russia,0.0,2003-07-03,,0.0,SARS,61.52401,105.31875600000001
206.0,Singapore,32.0,2003-07-03,,171.0,SARS,1.352083,103.819836
1.0,South Africa,1.0,2003-07-03,,0.0,SARS,-30.559482,22.937506
1.0,Spain,0.0,2003-07-03,,1.0,SARS,40.463667,-3.7492199999999998
3.0,Sweden,0.0,2003-07-03,,3.0,SARS,60.128161,18.643501
1.0,Switzerland,0.0,2003-07-03,,1.0,SARS,46.818188,8.227511999999999
9.0,Thailand,2.0,2003-07-03,,7.0,SARS,15.870032,100.992541
4.0,United Kingdom,0.0,2003-07-03,,4.0,SARS,55.378051,-3.435973
73.0,US,0.0,2003-07-03,,65.0,SARS,37.09024,-95.712891
63.0,Vietnam,5.0,2003-07-03,,58.0,SARS,14.058323999999999,108.277199
5.0,Australia,0.0,2003-07-02,,5.0,SARS,-25.274398,133.775136
1.0,Brazil,0.0,2003-07-02,,1.0,SARS,-14.235004,-51.92528
252.0,Canada,38.0,2003-07-02,,192.0,SARS,56.130366,-106.34677099999999
5327.0,Mainland China,348.0,2003-07-02,,4933.0,SARS,35.86166,104.195397
1755.0,Hong Kong,298.0,2003-07-02,,1429.0,SARS,22.396428,114.10949699999999
1.0,Macao,0.0,2003-07-02,,1.0,SARS,22.1987,113.5439
676.0,Taiwan,84.0,2003-07-02,,498.0,SARS,23.69781,120.96051499999999
1.0,Colombia,0.0,2003-07-02,,1.0,SARS,4.570868,-74.297333
1.0,Finland,0.0,2003-07-02,,1.0,SARS,61.92411,25.748151
7.0,France,0.0,2003-07-02,,6.0,SARS,46.227638,2.213749
10.0,Germany,0.0,2003-07-02,,9.0,SARS,51.165690999999995,10.451526
3.0,India,0.0,2003-07-02,,3.0,SARS,20.593684,78.96288
2.0,Indonesia,0.0,2003-07-02,,2.0,SARS,-0.789275,113.921327
4.0,Italy,0.0,2003-07-02,,4.0,SARS,41.87194,12.56738
1.0,Kuwait,0.0,2003-07-02,,1.0,SARS,29.311659999999996,47.481766
5.0,Malaysia,2.0,2003-07-02,,3.0,SARS,4.210483999999999,101.97576600000001
9.0,Mongolia,0.0,2003-07-02,,9.0,SARS,46.862496,103.84665600000001
1.0,New Zealand,0.0,2003-07-02,,1.0,SARS,-40.900557,174.88597099999998
14.0,Philippines,2.0,2003-07-02,,12.0,SARS,12.879721,121.77401699999999
1.0,Ireland,0.0,2003-07-02,,1.0,SARS,53.41291,-8.243889999999999
3.0,South Korea,0.0,2003-07-02,,3.0,SARS,35.907757000000004,127.766922
1.0,Romania,0.0,2003-07-02,,1.0,SARS,45.943160999999996,24.96676
1.0,Russia,0.0,2003-07-02,,0.0,SARS,61.52401,105.31875600000001
206.0,Singapore,32.0,2003-07-02,,171.0,SARS,1.352083,103.819836
1.0,South Africa,1.0,2003-07-02,,0.0,SARS,-30.559482,22.937506
1.0,Spain,0.0,2003-07-02,,1.0,SARS,40.463667,-3.7492199999999998
3.0,Sweden,0.0,2003-07-02,,3.0,SARS,60.128161,18.643501
1.0,Switzerland,0.0,2003-07-02,,1.0,SARS,46.818188,8.227511999999999
9.0,Thailand,2.0,2003-07-02,,7.0,SARS,15.870032,100.992541
4.0,United Kingdom,0.0,2003-07-02,,4.0,SARS,55.378051,-3.435973
73.0,US,0.0,2003-07-02,,63.0,SARS,37.09024,-95.712891
63.0,Vietnam,5.0,2003-07-02,,58.0,SARS,14.058323999999999,108.277199
5.0,Australia,0.0,2003-07-01,,5.0,SARS,-25.274398,133.775136
1.0,Brazil,0.0,2003-07-01,,1.0,SARS,-14.235004,-51.92528
252.0,Canada,38.0,2003-07-01,,192.0,SARS,56.130366,-106.34677099999999
5327.0,Mainland China,348.0,2003-07-01,,4930.0,SARS,35.86166,104.195397
1755.0,Hong Kong,298.0,2003-07-01,,1429.0,SARS,22.396428,114.10949699999999
1.0,Macao,0.0,2003-07-01,,1.0,SARS,22.1987,113.5439
678.0,Taiwan,84.0,2003-07-01,,498.0,SARS,23.69781,120.96051499999999
1.0,Colombia,0.0,2003-07-01,,1.0,SARS,4.570868,-74.297333
1.0,Finland,0.0,2003-07-01,,1.0,SARS,61.92411,25.748151
7.0,France,0.0,2003-07-01,,6.0,SARS,46.227638,2.213749
10.0,Germany,0.0,2003-07-01,,9.0,SARS,51.165690999999995,10.451526
3.0,India,0.0,2003-07-01,,3.0,SARS,20.593684,78.96288
2.0,Indonesia,0.0,2003-07-01,,2.0,SARS,-0.789275,113.921327
5.0,Italy,0.0,2003-07-01,,5.0,SARS,41.87194,12.56738
1.0,Kuwait,0.0,2003-07-01,,1.0,SARS,29.311659999999996,47.481766
5.0,Malaysia,2.0,2003-07-01,,3.0,SARS,4.210483999999999,101.97576600000001
9.0,Mongolia,0.0,2003-07-01,,9.0,SARS,46.862496,103.84665600000001
1.0,New Zealand,0.0,2003-07-01,,1.0,SARS,-40.900557,174.88597099999998
14.0,Philippines,2.0,2003-07-01,,12.0,SARS,12.879721,121.77401699999999
1.0,Ireland,0.0,2003-07-01,,1.0,SARS,53.41291,-8.243889999999999
3.0,South Korea,0.0,2003-07-01,,3.0,SARS,35.907757000000004,127.766922
1.0,Romania,0.0,2003-07-01,,1.0,SARS,45.943160999999996,24.96676
1.0,Russia,0.0,2003-07-01,,0.0,SARS,61.52401,105.31875600000001
206.0,Singapore,32.0,2003-07-01,,171.0,SARS,1.352083,103.819836
1.0,South Africa,1.0,2003-07-01,,0.0,SARS,-30.559482,22.937506
1.0,Spain,0.0,2003-07-01,,1.0,SARS,40.463667,-3.7492199999999998
3.0,Sweden,0.0,2003-07-01,,3.0,SARS,60.128161,18.643501
1.0,Switzerland,0.0,2003-07-01,,1.0,SARS,46.818188,8.227511999999999
9.0,Thailand,2.0,2003-07-01,,7.0,SARS,15.870032,100.992541
4.0,United Kingdom,0.0,2003-07-01,,4.0,SARS,55.378051,-3.435973
73.0,US,0.0,2003-07-01,,63.0,SARS,37.09024,-95.712891
63.0,Vietnam,5.0,2003-07-01,,58.0,SARS,14.058323999999999,108.277199
5.0,Australia,0.0,2003-06-30,,5.0,SARS,-25.274398,133.775136
3.0,Brazil,0.0,2003-06-30,,2.0,SARS,-14.235004,-51.92528
252.0,Canada,37.0,2003-06-30,,192.0,SARS,56.130366,-106.34677099999999
5327.0,Mainland China,348.0,2003-06-30,,4927.0,SARS,35.86166,104.195397
1755.0,Hong Kong,298.0,2003-06-30,,1429.0,SARS,22.396428,114.10949699999999
1.0,Macao,0.0,2003-06-30,,1.0,SARS,22.1987,113.5439
678.0,Taiwan,84.0,2003-06-30,,495.0,SARS,23.69781,120.96051499999999
1.0,Colombia,0.0,2003-06-30,,1.0,SARS,4.570868,-74.297333
1.0,Finland,0.0,2003-06-30,,1.0,SARS,61.92411,25.748151
7.0,France,0.0,2003-06-30,,6.0,SARS,46.227638,2.213749
10.0,Germany,0.0,2003-06-30,,9.0,SARS,51.165690999999995,10.451526
3.0,India,0.0,2003-06-30,,3.0,SARS,20.593684,78.96288
2.0,Indonesia,0.0,2003-06-30,,2.0,SARS,-0.789275,113.921327
5.0,Italy,0.0,2003-06-30,,5.0,SARS,41.87194,12.56738
1.0,Kuwait,0.0,2003-06-30,,1.0,SARS,29.311659999999996,47.481766
5.0,Malaysia,2.0,2003-06-30,,3.0,SARS,4.210483999999999,101.97576600000001
9.0,Mongolia,0.0,2003-06-30,,9.0,SARS,46.862496,103.84665600000001
1.0,New Zealand,0.0,2003-06-30,,1.0,SARS,-40.900557,174.88597099999998
14.0,Philippines,2.0,2003-06-30,,12.0,SARS,12.879721,121.77401699999999
1.0,Ireland,0.0,2003-06-30,,1.0,SARS,53.41291,-8.243889999999999
3.0,South Korea,0.0,2003-06-30,,3.0,SARS,35.907757000000004,127.766922
1.0,Romania,0.0,2003-06-30,,1.0,SARS,45.943160999999996,24.96676
1.0,Russia,0.0,2003-06-30,,0.0,SARS,61.52401,105.31875600000001
206.0,Singapore,32.0,2003-06-30,,171.0,SARS,1.352083,103.819836
1.0,South Africa,1.0,2003-06-30,,0.0,SARS,-30.559482,22.937506
1.0,Spain,0.0,2003-06-30,,1.0,SARS,40.463667,-3.7492199999999998
3.0,Sweden,0.0,2003-06-30,,3.0,SARS,60.128161,18.643501
1.0,Switzerland,0.0,2003-06-30,,1.0,SARS,46.818188,8.227511999999999
9.0,Thailand,2.0,2003-06-30,,7.0,SARS,15.870032,100.992541
4.0,United Kingdom,0.0,2003-06-30,,4.0,SARS,55.378051,-3.435973
73.0,US,0.0,2003-06-30,,63.0,SARS,37.09024,-95.712891
63.0,Vietnam,5.0,2003-06-30,,58.0,SARS,14.058323999999999,108.277199
5.0,Australia,0.0,2003-06-27,,5.0,SARS,-25.274398,133.775136
3.0,Brazil,0.0,2003-06-27,,2.0,SARS,-14.235004,-51.92528
251.0,Canada,37.0,2003-06-27,,191.0,SARS,56.130366,-106.34677099999999
5327.0,Mainland China,348.0,2003-06-27,,4921.0,SARS,35.86166,104.195397
1755.0,Hong Kong,297.0,2003-06-27,,1422.0,SARS,22.396428,114.10949699999999
